dist, ambient, reflection, color
0, 2, 58, Color.WHITE
1, 3, 63, Color.WHITE
2, 5, 100, Color.WHITE
3, 8, 100, Color.WHITE
4, 9, 100, Color.WHITE
5, 10, 100, Color.WHITE
6, 9, 100, Color.WHITE
7, 10, 100, Color.WHITE
8, 9, 100, Color.WHITE
9, 10, 100, Color.WHITE
10, 10, 100, Color.WHIT
11, 11, 100, Color.WHIT
12, 10, 100, Color.WHIT
13, 10, 100, Color.WHIT
14, 9, 100, Color.WHITE
15, 9, 100, Color.WHITE
16, 9, 100, Color.WHITE
17, 8, 85, Color.WHITE
18, 8, 71, Color.WHITE
19, 7, 61, Color.WHITE
20, 7, 56, Color.WHITE
21, 6, 46, Color.WHITE
22, 7, 45, Color.WHITE
23, 6, 43, Color.WHITE
24, 6, 42, Color.WHITE
25, 6, 41, Color.WHITE
26, 6, 42, Color.WHITE
27, 6, 44, Color.WHITE
28, 6, 44, Color.WHITE
29, 6, 43, Color.WHITE
30, 6, 40, Color.WHITE
31, 6, 37, Color.WHITE
32, 6, 32, Color.WHITE
33, 5, 28, Color.WHITE
34, 5, 23, Color.WHITE
35, 5, 22, Color.WHITE
36, 5, 18, Color.WHITE
37, 5, 18, Color.WHITE
38, 5, 19, Color.WHITE
39, 5, 18, Color.WHITE
40, 5, 18, Color.WHITE
41, 5, 19, Color.WHITE
42, 5, 19, Color.WHITE
43, 5, 18, Color.WHITE
44, 5, 18, Color.WHITE
45, 5, 18, Color.WHITE
46, 5, 17, Color.WHITE
47, 5, 16, Color.WHITE
48, 5, 14, Color.WHITE
49, 5, 13, Color.WHITE
