depth,x,y,distance

0,0,0,1.6799297604364296
1,-1.0,-1.0,0.38231400706748886
2,-1.5,-0.5,0.4734596075696426
3,-1.25,-0.75,0.2452835094334716
4,-1.375,-0.875,0.08315046602394957
5,-1.4375,-0.9375,0.06104506532063022
6,-1.40625,-0.96875,0.02836591264176082
7,-1.390625,-0.953125,0.01169000641573827
8,-1.3828125,-0.9609375,0.004066824621249461
9,-1.37890625,-0.95703125,0.0014610837159450155
10,-1.380859375,-0.958984375,0.0013067209079410402
11,-1.3798828125,-0.9580078125,0.00011744762795593449
12,-1.38037109375,-0.95751953125,0.0006070920778725977
13,-1.380126953125,-0.957763671875,0.0002682686687134573
14,-1.3800048828125,-0.9578857421875,0.00011436209850815011
15,-1.37994384765625,-0.95794677734375,7.736754388571403e-05
16,-1.379974365234375,-0.957977294921875,3.424414959235923e-05
17,-1.3799896240234375,-0.9579925537109375,1.277137856400354e-05
18,-1.3799972534179688,-0.9580001831054688,2.7526787801157848e-06
19,-1.3800010681152344,-0.9579963684082031,3.785410034988349e-06
