prox.horizontal[0] ," prox.horizontal[1]" ," prox.horizontal[2]" ," prox.horizontal[3]" ," prox.horizontal[4]" ," prox.horizontal[5]" ," prox.horizontal[6]" , "timestamp"
4387.000000,4917.000000,3564.000000,4878.000000,1250.000000,0.000000,0.000000,33.000000
4387.000000,4918.000000,3565.000000,4878.000000,1250.000000,0.000000,0.000000,195.000000
4384.000000,4917.000000,3559.000000,4881.000000,1242.000000,0.000000,0.000000,348.000000
4386.000000,4919.000000,3565.000000,4879.000000,1238.000000,0.000000,0.000000,494.000000
4385.000000,4915.000000,3567.000000,4877.000000,1249.000000,0.000000,0.000000,646.000000
4384.000000,4917.000000,3573.000000,4878.000000,1249.000000,0.000000,0.000000,800.000000
4389.000000,4916.000000,3563.000000,4878.000000,1249.000000,0.000000,0.000000,948.000000
4390.000000,4915.000000,3574.000000,4877.000000,1248.000000,0.000000,0.000000,1101.000000
4392.000000,4916.000000,3557.000000,4879.000000,1249.000000,0.000000,0.000000,1252.000000
4388.000000,4917.000000,3558.000000,4879.000000,1249.000000,0.000000,0.000000,1412.000000
4387.000000,4917.000000,3558.000000,4879.000000,1250.000000,0.000000,0.000000,1565.000000
4384.000000,4916.000000,3549.000000,4877.000000,1250.000000,0.000000,0.000000,1718.000000
4389.000000,4915.000000,3547.000000,4877.000000,1250.000000,0.000000,0.000000,1875.000000
4388.000000,4917.000000,3550.000000,4877.000000,1254.000000,0.000000,0.000000,2029.000000
4387.000000,4923.000000,3533.000000,4886.000000,1252.000000,0.000000,0.000000,2188.000000
4388.000000,4915.000000,3532.000000,4878.000000,1255.000000,0.000000,0.000000,2330.000000
4388.000000,4917.000000,3543.000000,4879.000000,1256.000000,0.000000,0.000000,2470.000000
4387.000000,4917.000000,3543.000000,4879.000000,1256.000000,0.000000,0.000000,2612.000000
4389.000000,4919.000000,3544.000000,4881.000000,1257.000000,0.000000,0.000000,2748.000000
4388.000000,4919.000000,3544.000000,4881.000000,1257.000000,0.000000,0.000000,2884.000000
4387.000000,4919.000000,3536.000000,4882.000000,1251.000000,0.000000,0.000000,3017.000000
4389.000000,4916.000000,3529.000000,4878.000000,1261.000000,0.000000,0.000000,3154.000000
4389.000000,4915.000000,3528.000000,4879.000000,1255.000000,0.000000,0.000000,3287.000000
4388.000000,4918.000000,3533.000000,4882.000000,1256.000000,0.000000,0.000000,3425.000000
4389.000000,4918.000000,3533.000000,4882.000000,1256.000000,0.000000,0.000000,3562.000000
4385.000000,4920.000000,3534.000000,4881.000000,1261.000000,0.000000,0.000000,3698.000000
4387.000000,4918.000000,3533.000000,4880.000000,1259.000000,0.000000,0.000000,3851.000000
4393.000000,4916.000000,3530.000000,4879.000000,1256.000000,0.000000,0.000000,3993.000000
4387.000000,4916.000000,3530.000000,4879.000000,1256.000000,0.000000,0.000000,4133.000000
4389.000000,4919.000000,3528.000000,4881.000000,1258.000000,0.000000,0.000000,4277.000000
4388.000000,4916.000000,3530.000000,4879.000000,1264.000000,0.000000,0.000000,4441.000000
4386.000000,4917.000000,3520.000000,4879.000000,1264.000000,0.000000,0.000000,4582.000000
4421.000000,4919.000000,3505.000000,4888.000000,1147.000000,0.000000,0.000000,4726.000000
3884.000000,4910.000000,4878.000000,4875.000000,0.000000,0.000000,0.000000,4885.000000
3487.000000,4895.000000,4943.000000,4866.000000,0.000000,0.000000,0.000000,5027.000000
2714.000000,4858.000000,4877.000000,4825.000000,0.000000,0.000000,0.000000,5177.000000
2370.000000,4819.000000,4837.000000,4783.000000,0.000000,0.000000,0.000000,5330.000000
1893.000000,4757.000000,4784.000000,4716.000000,0.000000,0.000000,0.000000,5480.000000
1901.000000,4745.000000,4774.000000,4713.000000,0.000000,0.000000,0.000000,5632.000000
1899.000000,4747.000000,4776.000000,4714.000000,0.000000,0.000000,0.000000,5782.000000
1897.000000,4747.000000,4776.000000,4714.000000,0.000000,0.000000,0.000000,5929.000000
1898.000000,4750.000000,4777.000000,4716.000000,0.000000,0.000000,0.000000,6074.000000
1897.000000,4745.000000,4772.000000,4714.000000,0.000000,0.000000,0.000000,6235.000000
1899.000000,4746.000000,4773.000000,4714.000000,0.000000,0.000000,0.000000,6384.000000
1894.000000,4745.000000,4774.000000,4714.000000,0.000000,0.000000,0.000000,6548.000000
1895.000000,4747.000000,4774.000000,4714.000000,0.000000,0.000000,0.000000,6687.000000
1899.000000,4745.000000,4774.000000,4716.000000,0.000000,0.000000,0.000000,6831.000000
1898.000000,4746.000000,4774.000000,4714.000000,0.000000,0.000000,0.000000,7215.000000
1904.000000,4745.000000,4772.000000,4713.000000,0.000000,0.000000,0.000000,7371.000000
1900.000000,4746.000000,4775.000000,4713.000000,0.000000,0.000000,0.000000,7524.000000
1900.000000,4743.000000,4771.000000,4711.000000,0.000000,0.000000,0.000000,7677.000000
1903.000000,4742.000000,4771.000000,4711.000000,0.000000,0.000000,0.000000,7814.000000
1898.000000,4749.000000,4778.000000,4716.000000,0.000000,0.000000,0.000000,7987.000000
1900.000000,4747.000000,4777.000000,4714.000000,0.000000,0.000000,0.000000,8119.000000
1898.000000,4746.000000,4771.000000,4714.000000,0.000000,0.000000,0.000000,8988.000000
1898.000000,4744.000000,4772.000000,4711.000000,0.000000,0.000000,0.000000,9127.000000
1898.000000,4743.000000,4773.000000,4711.000000,0.000000,0.000000,0.000000,9276.000000
1898.000000,4747.000000,4776.000000,4715.000000,0.000000,0.000000,0.000000,9402.000000
1902.000000,4743.000000,4773.000000,4712.000000,0.000000,0.000000,0.000000,9536.000000
1897.000000,4745.000000,4774.000000,4713.000000,0.000000,0.000000,0.000000,9682.000000
1898.000000,4747.000000,4774.000000,4713.000000,0.000000,0.000000,0.000000,9835.000000
1901.000000,4747.000000,4774.000000,4716.000000,0.000000,0.000000,0.000000,10014.000000
1902.000000,4746.000000,4772.000000,4714.000000,0.000000,0.000000,0.000000,10159.000000
1901.000000,4745.000000,4775.000000,4714.000000,0.000000,0.000000,0.000000,10304.000000
1901.000000,4746.000000,4775.000000,4714.000000,0.000000,0.000000,0.000000,10445.000000
1896.000000,4745.000000,4769.000000,4713.000000,0.000000,0.000000,0.000000,10585.000000
1900.000000,4747.000000,4778.000000,4714.000000,0.000000,0.000000,0.000000,10733.000000
1687.000000,4705.000000,4755.000000,4638.000000,0.000000,0.000000,0.000000,10895.000000
1383.000000,4630.000000,4714.000000,4497.000000,0.000000,0.000000,0.000000,11041.000000
0.000000,4347.000000,4623.000000,4084.000000,0.000000,0.000000,0.000000,11186.000000
0.000000,4177.000000,4550.000000,3869.000000,0.000000,0.000000,0.000000,11337.000000
0.000000,3847.000000,4276.000000,3467.000000,0.000000,0.000000,0.000000,11490.000000
0.000000,3789.000000,4223.000000,3396.000000,0.000000,0.000000,0.000000,11640.000000
0.000000,3791.000000,4220.000000,3386.000000,0.000000,0.000000,0.000000,11790.000000
0.000000,3788.000000,4219.000000,3384.000000,0.000000,0.000000,0.000000,11942.000000
0.000000,3795.000000,4215.000000,3392.000000,0.000000,0.000000,0.000000,12091.000000
0.000000,3792.000000,4217.000000,3386.000000,0.000000,0.000000,0.000000,12245.000000
0.000000,3796.000000,4217.000000,3386.000000,0.000000,0.000000,0.000000,12392.000000
0.000000,3794.000000,4217.000000,3391.000000,0.000000,0.000000,0.000000,12546.000000
0.000000,3795.000000,4220.000000,3387.000000,0.000000,0.000000,0.000000,12698.000000
0.000000,3792.000000,4216.000000,3384.000000,0.000000,0.000000,0.000000,12849.000000
0.000000,3791.000000,4218.000000,3388.000000,0.000000,0.000000,0.000000,13014.000000
0.000000,3793.000000,4218.000000,3388.000000,0.000000,0.000000,0.000000,13159.000000
0.000000,3789.000000,4216.000000,3386.000000,0.000000,0.000000,0.000000,13299.000000
0.000000,3798.000000,4218.000000,3389.000000,0.000000,0.000000,0.000000,13440.000000
0.000000,3795.000000,4218.000000,3389.000000,0.000000,0.000000,0.000000,13602.000000
0.000000,3789.000000,4219.000000,3386.000000,0.000000,0.000000,0.000000,13746.000000
0.000000,3794.000000,4219.000000,3386.000000,0.000000,0.000000,0.000000,13895.000000
0.000000,3793.000000,4216.000000,3389.000000,0.000000,0.000000,0.000000,14045.000000
0.000000,3794.000000,4218.000000,3387.000000,0.000000,0.000000,0.000000,14198.000000
0.000000,3791.000000,4220.000000,3384.000000,0.000000,0.000000,0.000000,14325.000000
0.000000,3793.000000,4217.000000,3388.000000,0.000000,0.000000,0.000000,14458.000000
0.000000,3792.000000,4216.000000,3386.000000,0.000000,0.000000,0.000000,14599.000000
0.000000,3790.000000,4212.000000,3386.000000,0.000000,0.000000,0.000000,14735.000000
0.000000,3796.000000,4216.000000,3390.000000,0.000000,0.000000,0.000000,14882.000000
0.000000,3797.000000,4221.000000,3394.000000,0.000000,0.000000,0.000000,15027.000000
0.000000,3794.000000,4221.000000,3394.000000,0.000000,0.000000,0.000000,15174.000000
0.000000,3793.000000,4216.000000,3386.000000,0.000000,0.000000,0.000000,15316.000000
0.000000,3792.000000,4220.000000,3385.000000,0.000000,0.000000,0.000000,15447.000000
0.000000,3793.000000,4215.000000,3389.000000,0.000000,0.000000,0.000000,15609.000000
0.000000,3793.000000,4218.000000,3385.000000,0.000000,0.000000,0.000000,15748.000000
0.000000,3791.000000,4218.000000,3385.000000,0.000000,0.000000,0.000000,15912.000000
0.000000,3795.000000,4219.000000,3391.000000,0.000000,0.000000,0.000000,16053.000000
0.000000,3797.000000,4218.000000,3384.000000,0.000000,0.000000,0.000000,16200.000000
0.000000,3795.000000,4221.000000,3389.000000,0.000000,0.000000,0.000000,16355.000000
0.000000,3797.000000,4222.000000,3386.000000,0.000000,0.000000,0.000000,16504.000000
0.000000,3795.000000,4219.000000,3386.000000,0.000000,0.000000,0.000000,16631.000000
0.000000,3796.000000,4214.000000,3389.000000,0.000000,0.000000,0.000000,16787.000000
0.000000,3694.000000,4116.000000,3228.000000,0.000000,0.000000,0.000000,16933.000000
0.000000,3579.000000,4007.000000,3068.000000,0.000000,0.000000,0.000000,17074.000000
0.000000,3472.000000,3892.000000,2904.000000,0.000000,0.000000,0.000000,17216.000000
0.000000,3226.000000,3672.000000,2610.000000,0.000000,0.000000,0.000000,17366.000000
0.000000,3101.000000,3568.000000,2466.000000,0.000000,0.000000,0.000000,17518.000000
0.000000,2945.000000,3420.000000,2309.000000,0.000000,0.000000,0.000000,17670.000000
0.000000,2951.000000,3423.000000,2292.000000,0.000000,0.000000,0.000000,17820.000000
0.000000,2952.000000,3418.000000,2302.000000,0.000000,0.000000,0.000000,17960.000000
0.000000,2953.000000,3419.000000,2298.000000,0.000000,0.000000,0.000000,18121.000000
0.000000,2949.000000,3417.000000,2299.000000,0.000000,0.000000,0.000000,18286.000000
